,content,polarity
78,Condiciones socioeconómicas de los estudiantes no deben ser obstáculo para recibir #EducaciónGratuita .@ZE_ARAGUA https://t.co/3oL3CpPSG1,1
79,Regularización de útiles escolares en planteles oficiales fortalece el derecho a la #EducaciónGratuita https://t.co/8ln2X8Bq7L,0
80,RT @zea_ssppea: Promovamos la reutilización de los textos de la #ColecciónBicentenario en escuelas oficiales #EducaciónGratuita https://t.c…,1
81,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/GQRvxBqW…,1
82,RT @mayorgamiriam: La solicitud de los útiles escolares debe ser de carácter flexible y progresivo #EducaciónGratuita @rodulfohumberto http…,1
83,RT @zea_ssppea: Escuelas y liceos oficiales no pueden solicitar textos distintos a la Colección Bicentenario #EducaciónGratuita https://t.c…,0
84,RT @zea_ssppea: Escuelas y liceos oficiales no pueden solicitar textos distintos a la Colección Bicentenario #EducaciónGratuita https://t.c…,0
85,RT @zea_ssppea: Promovamos la reutilización de los textos de la #ColecciónBicentenario en escuelas oficiales #EducaciónGratuita https://t.c…,1
86,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
87,#EducacionGratuita #NoConstitucionDePinochet #NoMasRepresion https://t.co/PZjpvpO7QF,1
88,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
89,RT @zea_ssppea: Escuelas y liceos oficiales no pueden solicitar textos distintos a la Colección Bicentenario #EducaciónGratuita https://t.c…,0
90,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
91,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
92,RT @zea_ssppea: Promovamos la reutilización de los textos de la #ColecciónBicentenario en escuelas oficiales #EducaciónGratuita https://t.c…,1
93,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
94,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
95,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
96,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
97,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
98,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
99,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
100,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
101,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
102,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
103,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
104,"RT @FelipeParadaM: comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
105,"comenzó la #InterpelaShow, si a @MarceSabat le interesara los niños del sename no se opondrían a la #EducacionGratuita",1
106,Promovamos la reutilización de los textos de la #ColecciónBicentenario en escuelas oficiales #EducaciónGratuita https://t.co/Wp7goWHxaK,0
107,Trailer Documental Ya No Basta con Marchar https://t.co/qdkOJZ0le7  vía @YouTube #yanobastaconmarchar #marchaestudiantil #educaciongratuita,1
108,RT @zea_ssppea: Escuelas y liceos oficiales no pueden solicitar textos distintos a la Colección Bicentenario #EducaciónGratuita https://t.c…,0
109,RT @zea_ssppea: Escuelas y liceos oficiales no pueden solicitar textos distintos a la Colección Bicentenario #EducaciónGratuita https://t.c…,0
110,RT @zea_ssppea: Escuelas y liceos oficiales no pueden solicitar textos distintos a la Colección Bicentenario #EducaciónGratuita https://t.c…,0
111,Escuelas y liceos oficiales no pueden solicitar textos distintos a la Colección Bicentenario #EducaciónGratuita https://t.co/P13C0YNP6S,0
112,Centros educativos oficiales no podrán solicitar aportes en dinero para inscripciones 2016-2017 #EducaciónGratuita https://t.co/pesUrkHUbc,0
113,Promovamos la reutilización de los textos de la #ColecciónBicentenario en escuelas oficiales  #EducaciónGratuita https://t.co/L8N7Arbxsc,0
114,Escuelas oficiales deben fomentar el uso de materiales reciclados en actividades pedagógicas #EducaciónGratuita https://t.co/bUtzvELk1a,0
115,Escuelas y liceos oficiales no pueden solicitar textos distintos a la Colección Bicentenario #EducaciónGratuita https://t.co/YnMGlX8j6J,0
116,La entrega de los materiales escolares es conforme al uso y aplicación en el Calendario Escolar #EducaciónGratuita https://t.co/y6oxI2DKtE,1
117,Centros educativos oficiales no podrán solicitar aportes en dinero para inscripciones 2016-2017 #EducaciónGratuita https://t.co/j701SCz6Zn,0
118,"Lista de útiles escolares no es un requisito primordial, garantizando inclusión de niños y niñas #EducaciónGratuita https://t.co/tAqOy4KkSP",0
119,Las condiciones socioeconómicas de los estudiantes no deben ser obstáculo para recibir una #EducaciónGratuita https://t.co/j6GbiqhSeb,1
120,La regularización de útiles escolares en planteles oficiales fortalece el derecho a la #EducaciónGratuita https://t.co/LRFTpwwhkM,0
121,El Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/wsDEOqcpUY https://t.co/0nDf6GzJ7H,0
122,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/GQRvxBqW…,1
123,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/GQRvxBqW…,1
124,Con las platas de #milicogate + de #cemachile y la mitad de lo que se robaron en dictadura financian la #educaciongratuita por unos 100 años,1
125,MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/piAMIQ6Fds https://t.co/mBA2unWqW0,0
126,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/GQRvxBqW…,1
127,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/GQRvxBqW…,1
128,MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/72VpNUzqvp https://t.co/QPl70g3nYT,0
129,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/GQRvxBqW…,1
130,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/GQRvxBqW…,1
131,#NoticiaMPPE Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/5vKIzUxxBX https://t.co/FZZUEQrppl,0
132,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/GQRvxBqW…,1
133,Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/GQRvxBqWy1,0
134,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/0ElYUUUD…,1
135,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/0ElYUUUD…,1
136,RT @GodwillgivemeJ: Mientras tanto.... esperando la #EducaciónGratuita  #Bachelet pasará #Agosto ...? https://t.co/2D4tG0yOWa,0
137,RT @olga_eze: .@MPPEDUCACION regula solicitud de materiales y textos escolares en el nivel de Educación Básica #EducaciónGratuita https://t…,1
138,RT @GodwillgivemeJ: Mientras tanto.... esperando la #EducaciónGratuita  #Bachelet pasará #Agosto ...? https://t.co/2D4tG0yOWa,0
139,RT @olga_eze: .@MPPEDUCACION regula solicitud de materiales y textos escolares en el nivel de Educación Básica #EducaciónGratuita https://t…,1
140,RT @olga_eze: .@MPPEDUCACION regula solicitud de materiales y textos escolares en el nivel de Educación Básica #EducaciónGratuita https://t…,1
141,.@MPPEDUCACION regula solicitud de materiales y textos escolares en el nivel de Educación Básica #EducaciónGratuita https://t.co/el351dkwWo,1
142,RT @GodwillgivemeJ: Mientras tanto.... esperando la #EducaciónGratuita  #Bachelet pasará #Agosto ...? https://t.co/2D4tG0yOWa,0
143,RT @GodwillgivemeJ: Mientras tanto.... esperando la #EducaciónGratuita  #Bachelet pasará #Agosto ...? https://t.co/2D4tG0yOWa,0
144,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/0ElYUUUD…,1
145,RT @GodwillgivemeJ: Mientras tanto.... esperando la #EducaciónGratuita  #Bachelet pasará #Agosto ...? https://t.co/2D4tG0yOWa,0
146,RT @GodwillgivemeJ: Mientras tanto.... esperando la #EducaciónGratuita  #Bachelet pasará #Agosto ...? https://t.co/2D4tG0yOWa,0
147,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/0ElYUUUD…,1
148,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/0ElYUUUD…,1
149,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/0ElYUUUD…,1
150,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/0ElYUUUD…,1
151,#NoticiaMPPE Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/5vKIzUxxBX https://t.co/Lp4DxA0GCn,0
152,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/0ElYUUUD…,1
153,MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/piAMIQ6Fds https://t.co/dRRif6pBHO,0
154,MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/72VpNUzqvp https://t.co/zRKIAO3Vgm,0
155,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/0ElYUUUD…,1
156,RT @MPPEDUCACION: Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/0ElYUUUD…,1
157,Gobierno Bolivariano garantiza al pueblo de Venezuela la #EducaciónGratuita https://t.co/tOP03FUZGq https://t.co/0ElYUUUDF2,0
158,"#SomosMillones que decimos no al #Aborto3causales, no a la #EducaciónGratuita, necesitamos más gente pobre y más ignorante.",0
159,#Medellin Inicia tu #Pregrado #viajando ¡#Argentina espera por ti! #EducaciónGratuita ¡asiste a nuestra... https://t.co/GKXemMlLYr,1
160,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
161,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
162,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
163,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
164,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
165,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
166,RT @SalaCarabobo: Condiciones socioeconómica de los estudiantes no deben ser obstáculo para recibir #EducacionGratuita https://t.co/WnhVtjU…,1
167,RT @SalaCarabobo: Centros educativos oficiales no podrán solicitar aportes en dinero para inscripciones 2016-1017 #EducacionGratuita https:…,0
168,"RT @SalaCarabobo: Lista de útiles no es un requisito primordial, garantizando inclusión de niños y niñas #EducacionGratuita https://t.co/He…",0
169,RT @SalaCarabobo: @MPPEDUCACION  regula solicitud de materiales y textos escolares en el nivel de Educación Básica #EducacionGratuita https…,1
170,RT @SalaCarabobo: Materiales y textos escolares no deben ser exigidos en planteles oficiales de todo el país #EducacionGratuita https://t.c…,0
171,RT @SalaCarabobo: Promovamos la reutilazion de los textos de la #ColeccionBicentenario en las escuelas #EducacionGratuita https://t.co/UsCR…,1
172,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
173,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
174,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
175,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
176,#ÚltimaHora: Llega marcha de madres y padres D familia a las inmediaciones de @SeGobCDMX Demandan #EducaciónGratuita https://t.co/hQw5eGqQc6,0
177,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
178,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
179,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
180,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
181,RT @politicasmedia: Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://…,0
182,Llega la marcha de madres y padres de familia a las inmediaciones de la @SeGobCDMX Demandan #EducaciónGratuita https://t.co/hhrbi9avYe,0
183,RT @izcalliciudadan: Por México hace mucho no se le ve. #AhiComoMeVesYo  #Mexico  #CNTE #MaestrosEnLucha #EducacionGratuita https://t.co/OU…,1
184,RT @izcalliciudadan: Por México hace mucho no se le ve. #AhiComoMeVesYo  #Mexico  #CNTE #MaestrosEnLucha #EducacionGratuita https://t.co/OU…,1
185,RT @diariotaltal: #Archivo (2011): La #EducacionGratuita flota en pleno balneario de #Antofagasta https://t.co/tWYCcyZUig,1
186,RT @diariotaltal: #Archivo (2011): La #EducacionGratuita flota en pleno balneario de #Antofagasta https://t.co/tWYCcyZUig,1
187,RT @exploraelqui: Destacan los 5 años de labor del colegio #ValleDelElqui educando de manera integral y gratuita. #EducacionGratuita https:…,1
188,RT @exploraelqui: Destacan los 5 años de labor del colegio #ValleDelElqui educando de manera integral y gratuita. #EducacionGratuita https:…,1
189,RT @exploraelqui: Destacan los 5 años de labor del colegio #ValleDelElqui educando de manera integral y gratuita. #EducacionGratuita https:…,1
190,RT @exploraelqui: Destacan los 5 años de labor del colegio #ValleDelElqui educando de manera integral y gratuita. #EducacionGratuita https:…,1
191,Destacan los 5 años de labor del colegio #ValleDelElqui educando de manera integral y gratuita. #EducacionGratuita https://t.co/yXjygurk94,1
192,RT @Javi_Cacao: #Bachelet la presidenta del  #IVA 19% y por cierto... #IVA a construir 60 hospitales #IVA a dar #EducaciónGratuita https://…,0
193,RT @Javi_Cacao: #Bachelet la presidenta del  #IVA 19% y por cierto... #IVA a construir 60 hospitales #IVA a dar #EducaciónGratuita https://…,0
194,RT @Javi_Cacao: #Bachelet la presidenta del  #IVA 19% y por cierto... #IVA a construir 60 hospitales #IVA a dar #EducaciónGratuita https://…,0
195,RT @Javi_Cacao: #Bachelet la presidenta del  #IVA 19% y por cierto... #IVA a construir 60 hospitales #IVA a dar #EducaciónGratuita https://…,0
